Feature,SHAP_Value,Feature_Value,Absolute_SHAP
study_time_hours,11.591232701601227,6.9,11.591232701601227
previous_grade,-2.2137188502861744,63.1,2.2137188502861744
part_time_job,-1.8466153061916215,Yes,1.8466153061916215
internet_access,0.9056851890177192,Yes,0.9056851890177192
attendance_percent,-0.41845154341372415,82.8,0.41845154341372415
sleep_hours,0.2570018578571377,6.7,0.2570018578571377
extracurricular_activities,0.20076672241709073,Yes,0.20076672241709073
parental_education,-0.13458733325647426,High School,0.13458733325647426
gender,-0.03351142816264918,Female,0.03351142816264918
