Student_Index,Predicted_Score,Performance_Category,Top_Positive_Factors,Top_Negative_Factors,Personalized_Intervention
0,78.15,Good,attendance_percent (SHAP=4.5239); previous_grade (SHAP=2.4446); study_time_hours (SHAP=2.2418),sleep_hours (SHAP=-0.3348); parental_education (SHAP=-0.0195),Maintain current academic habits while strengthening the student features that contribute positively to predicted performance. Review sleep habits and maintain a more consistent sleep schedule to support academic performance. Consider additional academic mentoring or institutional support resources. Maintain regular attendance and continue active participation in classes. Continue building on previous academic strengths. Maintain the current study routine and continue consistent preparation.
1,72.49,Good,study_time_hours (SHAP=10.0672); attendance_percent (SHAP=4.6015); previous_grade (SHAP=1.6969),part_time_job (SHAP=-1.7408); sleep_hours (SHAP=-0.8086); parental_education (SHAP=-0.0667),Maintain current academic habits while strengthening the student features that contribute positively to predicted performance. Review the balance between employment hours and study requirements. Review sleep habits and maintain a more consistent sleep schedule to support academic performance. Consider additional academic mentoring or institutional support resources. Maintain the current study routine and continue consistent preparation. Maintain regular attendance and continue active participation in classes. Continue building on previous academic strengths.
2,73.43,Good,previous_grade (SHAP=6.3479); study_time_hours (SHAP=5.6652); internet_access (SHAP=1.1572),part_time_job (SHAP=-2.0939); extracurricular_activities (SHAP=-0.2543); gender (SHAP=-0.0100),Maintain current academic habits while strengthening the student features that contribute positively to predicted performance. Review the balance between employment hours and study requirements. Review the balance between extracurricular activities and academic commitments. No direct intervention is recommended based on gender. Continue building on previous academic strengths. Maintain the current study routine and continue consistent preparation. Continue using available online educational resources effectively.
3,92.23,Excellent,previous_grade (SHAP=5.4532); sleep_hours (SHAP=1.2863); internet_access (SHAP=1.2594),study_time_hours (SHAP=-4.4347); attendance_percent (SHAP=-2.0331); parental_education (SHAP=-0.1015),"Maintain current academic habits, continue consistent attendance and study practices, and focus on sustaining high performance. Increase structured study time and divide study sessions across the week. Improve attendance and avoid unnecessary absence from classes. Consider additional academic mentoring or institutional support resources. Continue building on previous academic strengths. Maintain a consistent and healthy sleep routine. Continue using available online educational resources effectively."
4,89.47,Excellent,attendance_percent (SHAP=2.0375); internet_access (SHAP=1.2845); parental_education (SHAP=0.0155),study_time_hours (SHAP=-6.6034); previous_grade (SHAP=-3.3283); part_time_job (SHAP=-2.8213),"Maintain current academic habits, continue consistent attendance and study practices, and focus on sustaining high performance. Increase structured study time and divide study sessions across the week. Review concepts from previous assessments and strengthen foundational knowledge. Review the balance between employment hours and study requirements. Maintain regular attendance and continue active participation in classes. Continue using available online educational resources effectively. Continue using available academic support and learning resources."
