iter	Passed	Remaining
334	15721	7743
335	15757	7691
336	15796	7640
337	15834	7589
338	15876	7540
339	15912	7488
340	15949	7437
341	16014	7398
342	16078	7359
343	16155	7326
344	16218	7286
345	16269	7241
346	16328	7199
347	16366	7148
348	16408	7099
349	16448	7049
350	16501	7004
351	16575	6969
352	16663	6939
353	16733	6901
354	16765	6848
355	16795	6793
356	16830	6741
357	16865	6689
358	16897	6636
359	16939	6587
360	17010	6549
361	17079	6511
362	17116	6459
363	17160	6411
364	17191	6358
365	17223	6305
366	17257	6254
367	17290	6202
368	17327	6151
369	17406	6115
370	17492	6082
371	17538	6034
372	17573	5983
373	17599	5929
374	17627	5875
375	17654	5822
376	17680	5768
377	17709	5715
378	17772	5674
379	17852	5637
380	17917	5596
381	17995	5558
382	18055	5515
383	18127	5475
384	18204	5437
385	18274	5396
386	18320	5349
387	18369	5302
388	18406	5252
389	18435	5199
390	18466	5147
391	18497	5096
392	18528	5044
393	18561	4993
394	18591	4942
395	18627	4892
396	18659	4841
397	18696	4791
398	18737	4743
399	18780	4695
400	18835	4650
401	18882	4603
402	18930	4556
403	18976	4509
404	19011	4459
405	19045	4409
406	19076	4359
407	19108	4308
408	19158	4262
409	19284	4233
410	19433	4208
411	19516	4168
412	19582	4125
413	19694	4091
414	19733	4041
415	19764	3990
416	19791	3939
417	19818	3887
418	19849	3837
419	19879	3786
420	19905	3735
421	19931	3684
422	19960	3633
423	19987	3582
424	20012	3531
425	20037	3480
426	20063	3430
427	20090	3379
428	20115	3329
429	20143	3279
430	20170	3229
431	20197	3179
432	20226	3129
433	20253	3079
434	20278	3030
435	20304	2980
436	20330	2930
437	20357	2881
438	20398	2834
439	20423	2784
440	20449	2735
441	20476	2686
442	20498	2637
443	20524	2588
444	20551	2540
445	20579	2491
446	20669	2450
447	20751	2408
448	20800	2362
449	20836	2315
450	20863	2266
451	20894	2218
452	20924	2171
453	20953	2123
454	20989	2075
455	21019	2028
456	21054	1981
457	21134	1938
458	21180	1891
459	21210	1844
460	21241	1797
461	21270	1749
462	21300	1702
463	21331	1655
464	21361	1607
465	21395	1561
466	21430	1514
467	21462	1467
468	21492	1420
469	21535	1374
470	21618	1331
471	21658	1284
472	21685	1237
473	21716	1191
474	21750	1144
475	21782	1098
476	21812	1051
477	21842	1005
478	21872	958
479	21908	912
480	21940	866
481	21971	820
482	22005	774
483	22036	728
484	22065	682
485	22092	636
486	22123	590
487	22153	544
488	22182	499
489	22211	453
490	22241	407
491	22269	362
492	22297	316
493	22324	271
494	22355	225
495	22381	180
496	22412	135
497	22440	90
498	22464	45
499	22487	0
