iter	RMSE
221	4.657056299
222	4.651129896
223	4.649630812
224	4.647922638
225	4.647272647
226	4.64669574
227	4.640652028
228	4.639792295
229	4.639183927
230	4.637969011
231	4.633367646
232	4.631763075
233	4.627608319
234	4.622528455
235	4.614751612
236	4.609396081
237	4.607969016
238	4.599205988
239	4.594081077
240	4.59022601
241	4.58675335
242	4.5857613
243	4.58136078
244	4.580522897
245	4.577090083
246	4.571287942
247	4.567043964
248	4.557490571
249	4.555288086
250	4.55459256
251	4.553423589
252	4.553011166
253	4.552429767
254	4.548342055
255	4.547003841
256	4.541400691
257	4.538983494
258	4.536957705
259	4.536521208
260	4.535832356
261	4.530675551
262	4.524318182
263	4.519891538
264	4.514506779
265	4.510795096
266	4.50483631
267	4.499729564
268	4.498315331
269	4.494206287
270	4.493284982
271	4.487485455
272	4.483512185
273	4.48107198
274	4.474333692
275	4.473479872
276	4.469225807
277	4.469010434
278	4.460066091
279	4.455689853
280	4.448833535
281	4.448321665
282	4.44498919
283	4.444648229
284	4.439494538
285	4.430493749
286	4.425422284
287	4.424197586
288	4.422521225
289	4.419564543
290	4.415754268
291	4.415443611
292	4.410055744
293	4.406785509
294	4.403985172
295	4.398734879
296	4.394593869
297	4.391318605
298	4.386814611
299	4.384290248
300	4.379631229
301	4.375145255
302	4.371389412
303	4.370463327
304	4.369885579
305	4.369540702
306	4.369357655
307	4.367829801
308	4.363453854
309	4.362078515
310	4.36139831
311	4.355608681
312	4.353720543
313	4.349575378
314	4.345449433
315	4.33997744
316	4.33289745
317	4.32988387
318	4.327576906
319	4.319271064
320	4.318922123
321	4.314069053
322	4.313068864
323	4.306662386
324	4.306392655
325	4.303450846
326	4.300799638
327	4.296876726
328	4.291313343
329	4.284866551
330	4.284643361
331	4.281438686
332	4.281396907
333	4.281145679
334	4.271312167
335	4.265695748
336	4.26353863
337	4.257879872
338	4.255307289
339	4.252121123
340	4.250205518
341	4.249944811
342	4.249758337
343	4.249491908
344	4.248507511
345	4.240056872
346	4.239933822
347	4.235577673
348	4.235483102
349	4.23355622
350	4.23202917
351	4.227800398
352	4.226601794
353	4.223370262
354	4.219047435
355	4.218859718
356	4.218718041
357	4.216046671
358	4.212683315
359	4.211031255
360	4.209537125
361	4.197900741
362	4.196179299
363	4.191155213
364	4.185973173
365	4.180267098
366	4.170813933
367	4.170558545
368	4.170386858
369	4.165136316
370	4.157108915
371	4.152840262
372	4.149399211
373	4.147790848
374	4.14326652
375	4.139396021
376	4.135724224
377	4.129165985
378	4.128046538
379	4.12348297
380	4.122166985
381	4.118884377
382	4.114634679
383	4.113964005
384	4.110857882
385	4.110648321
386	4.107971184
387	4.10525249
388	4.10055653
389	4.100414496
390	4.091180612
391	4.087034106
392	4.082675148
393	4.079648296
394	4.075530193
395	4.066964049
396	4.065839186
397	4.065778683
398	4.062394771
399	4.057878761
400	4.054021013
401	4.053501467
402	4.048089025
403	4.045376338
404	4.041515628
405	4.041165918
406	4.040566338
407	4.040202054
408	4.037651711
409	4.03298601
410	4.026835066
411	4.024914259
412	4.020365953
413	4.017559149
414	4.0155789
415	4.010361122
416	4.007939637
417	4.005027268
418	4.004930597
419	4.001344021
420	4.001003577
421	3.998716897
422	3.996888702
423	3.995698484
424	3.995042752
425	3.991546951
426	3.990056217
427	3.987687115
428	3.984994502
429	3.983588416
430	3.982371937
431	3.977906875
432	3.972666616
433	3.970240317
434	3.965887205
435	3.962927176
436	3.96095776
437	3.955920406
438	3.949180786
439	3.941450291
440	3.938248614
441	3.93533491
442	3.935230537
443	3.932944902
444	3.928901443
445	3.928772812
446	3.924093305
447	3.918835594
448	3.916268454
449	3.909813522
450	3.909737265
451	3.906580792
452	3.900988562
453	3.897387734
454	3.893514442
455	3.889886754
456	3.88422072
457	3.880565769
458	3.874868155
459	3.869715866
460	3.866087163
461	3.862130051
462	3.859336426
463	3.854445185
464	3.848919083
465	3.837502045
466	3.8307919
467	3.828698833
468	3.828602363
469	3.822844412
470	3.820804923
471	3.817156671
472	3.812478374
473	3.804312884
474	3.802657265
475	3.797431231
476	3.797342679
477	3.794625139
478	3.791503656
479	3.788412928
480	3.784647222
481	3.780110758
482	3.77552103
483	3.770790499
484	3.768232857
485	3.764031632
486	3.762888922
487	3.754369856
488	3.749557038
489	3.745103104
490	3.741907433
491	3.738347575
492	3.735127631
493	3.73227663
494	3.731209478
495	3.727558222
496	3.721123481
497	3.718206658
498	3.715462121
499	3.715358149
